type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-11-14 16:45:14.999,42.17189635,-71.14035704,1.79,32.134,,14.514,231,19,21,,
T,2023-11-14 16:45:15.999,42.17181188,-71.14049025,1.79,31.756,,14.395,230,20,21,,
T,2023-11-14 16:45:16.999,42.17172678,-71.14061801,1.79,31.535,,14.100,227,19,21,,
T,2023-11-14 16:45:17.999,42.17163608,-71.14073818,1.81,31.547,,13.665,223,19,21,,
T,2023-11-14 16:45:18.999,42.17153710,-71.14084103,1.82,31.594,,13.255,217,18,21,,
T,2023-11-14 16:45:19.999,42.17143349,-71.14092765,1.82,31.690,,12.581,212,18,21,,
T,2023-11-14 16:45:20.999,42.17133915,-71.14099198,1.77,31.641,,11.607,207,19,21,,
T,2023-11-14 16:45:21.999,42.17125457,-71.14104267,1.73,32.042,,9.977,206,19,21,,
T,2023-11-14 16:45:22.999,42.17118550,-71.14108399,1.70,32.544,,8.433,208,19,21,,
T,2023-11-14 16:45:23.999,42.17112985,-71.14112798,1.73,32.302,,7.292,219,19,20,,
T,2023-11-14 16:45:24.999,42.17109663,-71.14118916,1.71,32.312,,6.782,240,20,21,,
T,2023-11-14 16:45:25.999,42.17107955,-71.14126915,1.72,32.224,,7.503,254,17,21,,
T,2023-11-14 16:45:26.999,42.17106626,-71.14136689,1.72,32.034,,8.447,255,20,21,,
T,2023-11-14 16:45:27.999,42.17104796,-71.14147280,1.72,31.970,,9.091,251,18,21,,
T,2023-11-14 16:45:28.999,42.17101778,-71.14158328,1.73,32.201,,10.014,248,19,21,,
T,2023-11-14 16:45:29.999,42.17098620,-71.14170386,1.71,31.912,,10.790,248,19,21,,
T,2023-11-14 16:45:30.999,42.17095003,-71.14182976,1.71,31.739,,11.618,248,19,21,,
T,2023-11-14 16:45:31.999,42.17091029,-71.14196401,1.73,31.536,,12.173,248,19,21,,
T,2023-11-14 16:45:32.999,42.17086985,-71.14209848,1.76,31.576,,12.739,248,19,21,,
T,2023-11-14 16:45:33.999,42.17082810,-71.14225373,1.78,31.346,,13.356,249,19,21,,
T,2023-11-14 16:45:34.999,42.17078655,-71.14241104,1.78,31.491,,13.870,250,19,21,,
T,2023-11-14 16:45:35.999,42.17074639,-71.14256429,1.78,31.785,,14.192,251,19,21,,
T,2023-11-14 16:45:36.999,42.17070425,-71.14273650,1.80,32.248,,14.206,252,19,21,,
T,2023-11-14 16:45:37.999,42.17067069,-71.14289537,1.79,32.596,,14.190,254,19,21,,
T,2023-11-14 16:45:38.999,42.17063964,-71.14307033,1.78,33.159,,14.263,256,19,21,,
T,2023-11-14 16:45:39.999,42.17061301,-71.14324065,1.79,33.771,,14.032,257,20,21,,
T,2023-11-14 16:45:40.999,42.17059065,-71.14340448,1.79,34.243,,13.501,259,19,21,,
T,2023-11-14 16:45:41.999,42.17056910,-71.14356124,1.79,34.552,,12.942,260,20,21,,
T,2023-11-14 16:45:42.999,42.17054877,-71.14371411,1.80,35.040,,12.162,260,20,21,,
T,2023-11-14 16:45:43.999,42.17052948,-71.14385426,1.79,35.490,,10.815,260,20,21,,
T,2023-11-14 16:45:44.999,42.17051413,-71.14397238,1.79,36.075,,8.856,260,21,21,,
T,2023-11-14 16:45:45.999,42.17050271,-71.14406499,1.80,36.899,,6.846,260,20,21,,
T,2023-11-14 16:45:46.999,42.17049072,-71.14413145,1.80,37.471,,5.506,250,21,21,,
T,2023-11-14 16:45:47.999,42.17046206,-71.14417286,1.78,37.545,,4.870,225,21,21,,
T,2023-11-14 16:45:48.999,42.17042260,-71.14418908,1.77,37.655,,4.699,198,20,21,,
T,2023-11-14 16:45:49.999,42.17037434,-71.14417768,1.78,37.736,,4.906,174,20,20,,
T,2023-11-14 16:45:50.999,42.17032713,-71.14415774,1.76,37.474,,4.658,166,20,21,,
T,2023-11-14 16:45:51.999,42.17028119,-71.14413267,1.73,37.384,,4.514,165,20,21,,
T,2023-11-14 16:45:52.999,42.17023550,-71.14410762,1.71,37.237,,4.203,165,19,21,,
T,2023-11-14 16:45:53.999,42.17019392,-71.14408691,1.70,37.014,,3.772,165,19,21,,
T,2023-11-14 16:45:54.999,42.17015876,-71.14407095,1.71,36.348,,3.141,167,19,21,,
T,2023-11-14 16:45:55.999,42.17013096,-71.14405755,1.74,35.660,,1.795,169,19,21,,
T,2023-11-14 16:45:56.999,42.17011782,-71.14405432,1.29,35.295,,0.268,170,16,21,,
T,2023-11-14 16:45:57.999,42.17011666,-71.14405408,1.33,35.206,,0.346,170,18,21,,
T,2023-11-14 16:45:58.999,42.17011690,-71.14405419,1.38,35.008,,0.335,170,16,21,,
T,2023-11-14 16:45:59.999,42.17011381,-71.14405348,1.40,34.456,,0.278,170,17,21,,
T,2023-11-14 16:46:00.999,42.17011002,-71.14405262,1.40,33.958,,0.227,170,18,21,,
T,2023-11-14 16:46:01.999,42.17010725,-71.14405201,1.42,33.500,,0.193,170,16,21,,
T,2023-11-14 16:46:02.999,42.17010251,-71.14405090,1.42,33.377,,0.151,170,18,20,,
T,2023-11-14 16:46:03.999,42.17010352,-71.14405116,1.42,32.628,,0.003,170,17,20,,
T,2023-11-14 16:46:04.999,42.17010356,-71.14405117,1.48,32.326,,0.004,170,18,20,,
T,2023-11-14 16:46:05.999,42.17010366,-71.14405119,1.54,32.139,,0.003,170,17,20,,
T,2023-11-14 16:46:06.999,42.17010383,-71.14405124,1.60,32.020,,0.002,170,18,20,,
T,2023-11-14 16:46:07.999,42.17010392,-71.14405126,1.66,31.975,,0.001,170,18,20,,
T,2023-11-14 16:46:08.999,42.17010395,-71.14405126,1.72,31.959,,0.001,170,17,20,,
T,2023-11-14 16:46:09.999,42.17010397,-71.14405127,1.78,31.950,,0.000,170,15,20,,
T,2023-11-14 16:46:10.999,42.17009958,-71.14405015,1.66,32.002,,0.012,170,17,20,,
T,2023-11-14 16:46:11.999,42.17009614,-71.14404928,1.59,31.966,,0.019,170,17,20,,
T,2023-11-14 16:46:12.999,42.17009365,-71.14404863,1.55,31.861,,0.047,170,16,20,,
T,2023-11-14 16:46:13.999,42.17009118,-71.14404800,1.52,31.762,,0.047,170,15,20,,
T,2023-11-14 16:46:14.999,42.17009002,-71.14404770,1.51,31.910,,0.044,170,15,20,,
T,2023-11-14 16:46:15.999,42.17008799,-71.14404719,1.50,31.845,,0.061,170,16,20,,
T,2023-11-14 16:46:16.999,42.17008886,-71.14404741,1.54,31.747,,0.001,170,16,20,,
T,2023-11-14 16:46:17.999,42.17008907,-71.14404746,1.60,31.630,,0.001,170,16,20,,
T,2023-11-14 16:46:18.999,42.17008913,-71.14404747,1.66,31.618,,0.001,170,16,20,,
T,2023-11-14 16:46:19.999,42.17008922,-71.14404749,1.71,31.581,,0.000,170,16,19,,
T,2023-11-14 16:46:20.999,42.17008928,-71.14404751,1.77,31.547,,0.000,170,15,20,,
T,2023-11-14 16:46:21.999,42.17008931,-71.14404752,1.83,31.532,,0.000,170,16,20,,
T,2023-11-14 16:46:22.999,42.17008844,-71.14404729,1.73,32.675,,0.001,170,16,20,,
T,2023-11-14 16:46:23.999,42.17008870,-71.14404732,1.66,33.156,,0.020,170,16,20,,
T,2023-11-14 16:46:24.999,42.17008848,-71.14404726,1.61,35.978,,0.024,170,16,20,,
T,2023-11-14 16:46:25.999,42.17009543,-71.14404899,1.66,31.531,,0.001,170,15,20,,
T,2023-11-14 16:46:26.999,42.17008945,-71.14404746,1.61,38.071,,0.004,170,15,20,,
T,2023-11-14 16:46:27.999,42.17008413,-71.14404607,1.56,42.381,,0.014,170,16,20,,
T,2023-11-14 16:46:28.999,42.17007875,-71.14404468,1.55,45.514,,0.041,170,16,20,,
T,2023-11-14 16:46:29.999,42.17007975,-71.14401661,4.66,32.575,,0.850,157,15,20,,
T,2023-11-14 16:46:30.999,42.17007905,-71.14401475,4.81,33.976,,1.370,154,16,20,,
T,2023-11-14 16:46:31.999,42.17008266,-71.14401422,4.96,34.022,,1.829,149,15,20,,
T,2023-11-14 16:46:32.999,42.17008809,-71.14401409,5.30,34.413,,2.432,143,14,20,,
T,2023-11-14 16:46:33.999,42.17008130,-71.14399405,5.28,34.173,,2.920,142,14,20,,
T,2023-11-14 16:46:34.999,42.17005935,-71.14396446,5.19,35.229,,4.206,142,14,19,,
T,2023-11-14 16:46:35.999,42.17004821,-71.14395288,5.31,34.898,,4.747,142,14,19,,
T,2023-11-14 16:46:36.999,42.17005077,-71.14395030,5.39,33.373,,5.172,139,14,19,,
T,2023-11-14 16:46:37.999,42.17003326,-71.14393943,5.20,34.809,,3.872,142,14,19,,
T,2023-11-14 16:46:38.999,42.17005068,-71.14396354,5.60,34.383,,2.978,150,13,19,,
T,2023-11-14 16:46:39.999,42.17003594,-71.14396603,5.45,35.160,,2.585,161,14,20,,
T,2023-11-14 16:46:40.999,42.17001901,-71.14397133,5.41,35.179,,3.001,161,14,19,,
T,2023-11-14 16:46:41.999,42.17000389,-71.14396145,5.43,35.965,,3.209,160,13,19,,
T,2023-11-14 16:46:42.999,42.17002705,-71.14398778,5.58,35.442,,3.151,160,12,19,,
T,2023-11-14 16:46:43.999,42.17002825,-71.14397658,5.55,32.991,,2.939,162,13,19,,
